Object  Name	Monologue	Interaction	비고
4.사물함1	평범한 사물함이다.	x	
4.사물함2	특별한 것은 없다.	x	
4.사물함3	평범한 사물함이다.	x	
4.사물함4	평범한 사물함이다.	x	
4.사물함5	평범한 사물함이다.	x	
4.철제보관함	청소 도구가 들어있다.	x	
5.게시판	다양한 정보와 학급 일정이 붙어있는 게시판이다.	x	
5.게시판노트	고등학교 진학 관련 정보가 적혀있다… 고등학교라..	x	
6.거울	…..	일러스트 보이기	현재 유우지의 얼굴 일러스트로 보여주기
6.쓰레기통	평범한 쓰레기통이다.	x	
6.쓰레기통2	…. 내 교과서도 버려져 있는 것 같다. 아마 그녀셕들이겠지.	x	
7.시계	수업 시간을 알려주는 시계다.	x	
8.교탁	평범한 교탁이다.	x	
8.교탁쓰레기통	쓰레기 없이 깨끗이 비워져있다.	x	
8.교탁의자	학생들 의자와는 조금 다른 것 같다.	x	
8.교탁책	출석부인 것 같다.	x	
8.교탁책상	오래된 책상이다.	x	
8.쓰레기통	쓰레기 없이 깨끗이 비워져있다.	x	
9.책상1	특별할 것 없는 책상이다.	x	
9.책상2	평범한 책상이다.	x	
9.책상3	평범한 책상이다.	x	
9.책상4	특별할 것 없는 책상이다.	x	
10.책상1	쓰레기 없이 깨끗이 비워져있다.	x	
10.책상2	특별할 것 없는 책상이다.	x	
10.책상3	평범한 책상이다.	x	
10.책상4	평범한 책상이다.	x	
10.책상5	평범한 책상이다.	x	
10.책상6	특별할 것 없는 책상이다.	x	
10.책상7	평범한 책상이다.	x	
10.책상8	특별할 것 없는 책상이다.	x	
11.책상5	특별할 것 없는 책상이다.	x	
11.책상6	평범한 책상이다.	x	
11.책상7	특별할 것 없는 책상이다.	x	
11.책상8	평범한 책상이다.	x	
11.책상9	특별할 것 없는 책상이다.	x	
11.책상10	평범한 책상이다.	x	
11.책상11	평범한 책상이다.	x	
11.책상12	특별할 것 없는 책상이다.	x	
12.책상9	특별할 것 없는 책상이다.	x	
12.책상10	특별할 것 없는 책상이다.	x	
12.책상11	평범한 책상이다.	x	
12.책상12	평범한 책상이다.	x	
12.책상13	평범한 책상이다.	x	
12.책상14	특별할 것 없는 책상이다.	x	
12.책상15	특별할 것 없는 책상이다.	x	
12.책상16	평범한 책상이다.	x	
12.책상15(유우지의자)	… 앉을까?	자리에 앉는 기능 구현, 동작 필요.	
12.책상15(유우지책상)	낙서들이 가득하다.	일러스트 보이기	낙서 투성이인 유우지의 책상 일러스트(ex 조센징, 살인마의 자식, 악마) 출력
13.책상13	특별할 것 없는 책상이다.	x	
13.책상14	평범한 책상이다.	x	
13.책상15	특별할 것 없는 책상이다.	x	
13.책상16	평범한 책상이다.	x	
4.게시판	학교 일정에 관한 정보가 적혀있다.	x	
4.보관함	잠겨 있다. 	x	
4.보관함2	학생들은 열 수 없는 것 같다.	x	
4.시계	… 교실보다 조금 빠른가?	x	
4.쓰레기통	평범한 쓰레기통이다.	x	
4.책꽂이	다양한 책이 꽂혀있다.	x	
4.책꽂이2	다이세츠 중학교에 관한 책이 있다. 설립자가 스즈키 녀석의 선조라고 했지..	x	
4.책꽂이3	다이세츠의 스즈키 가문은 대대로 다이세츠에 영주였다고 한다.	x	
4.철제보관함2	시험지라도 들어 있으려나?	x	
5.의자1	평범한 의자다.	x	
5.의자2	평범한 의자다.	x	
5.의자3	평범한 의자다.	x	
5.의자4	평범한 의자다.	x	
5.책상1	평범한 의자다.	x	
5.책상2	평범한 의자다.	x	
5.책상3	평범한 의자다.	x	
5.책상4	평범한 의자다.	x	
6.의자5	평범한 의자다.	x	
6.의자6	평범한 의자다.	x	
6.의자7	평범한 의자다.	x	
6.의자8	평범한 의자다.	x	
6.책상5	평범한 책상이다.	x	
6.책상6	평범한 책상이다.	x	
6.책상7	평범한 책상이다.	x	
6.책상8	평범한 책상이다.	x	
7.의자9	코즈키 료고.. 담임의 자리다.	x	
7.의자10	평범한 의자다.	x	
7.의자11	평범한 의자다.	x	
7.의자12	평범한 의자다.	x	
7.책상9	고등학교 진학 상담 자료가 있다.	x	
7.책상10	평범한 책상이다.	x	
7.책상11	평범한 책상이다.	x	
7.책상12	평범한 책상이다.	x	
8.팬스	파티션이다.	x	
9.컴퓨터1	평범한 컴퓨터다.	x	
9.컴퓨터2	평범한 컴퓨터다.	x	
9.컴퓨터3	평범한 컴퓨터다.	x	
9.컴퓨터4	평범한 컴퓨터다.	x	
9.컴퓨터5	다이세츠 일가족 살인사건에 대한 뉴스가 보인다..	x	
9.컴퓨터6	평범한 컴퓨터다.	x	
5.소화전1	누군가 장난으로 많이 누르는 소화전이다.	x	
5.소화전2	누군가 장난으로 많이 누르는 소화전이다.	x	
6.교무실창문	높긴 하지만 창문을 통해 살짝 안이 보인다.	x	
7.문1	교무실로 들어가는 문이다. 들어갈까?	문 들어가기 기능	
7.문2	교무실로 들어가는 문이다. 들어갈까?	문 들어가기 기능	
4.3-1교실문1	교실로 들어가는 문이다. 들어갈까?	문 들어가기 기능	
4.3-1교실문2	교실로 들어가는 문이다. 들어갈까?	문 들어가기 기능	
4.3-2교실문1	남의 반이긴 한데.. 들어갈까?	문 들어가기 기능	
4.3-2교실문2	남의 반이긴 한데.. 들어갈까?	문 들어가기 기능	
5.3-1사물함	학생들의 신발이 있다.	x	
5.3-2사물함	학생들의 신발이 있다.	x	
6.3-1창문	창문을 통해 교실의 내부가 보인다.	x	
6.3-2창문	창문을 통해 교실의 내부가 보인다.	x	
7.소화전1	누군가 장난으로 많이 누르는 소화전이다.	x	
7.소화전2	누군가 장난으로 많이 누르는 소화전이다.	x	
